Text,Label
"নকিয়া এর ব্যাটারি টা খুব ভালো","positive"
"স্যামসাং গ্যালাক্সি এস এর ক্যামেরা টা খুব ভালো ","positive"
" লেনোভো এইচ ই ইয়ার ফোনের সাউন্ড কোয়ালিটি খুব বাজে","negative"
"আপনি যদি নিয়মিত ফোনটি খুঁজছেন যা মোটামুটি টেকসই এটি দুর্দান্ত! বিশেষ করে ভারী ক্ষেত্রে ব্যবহার করা হয়? হ্যাঁ আমি এই ফোনটি সুপারিশ করব","positive"
"আমি এটি ব্যবহার করে, যিনি এইটিকে আপগ্রেড করেছেন এবং বিক্রি করেছেন তাদের লাইনে ফোন পেয়েছি বলে আমি খুব সৌভাগ্য বোধ করি।","positive"
"সার্ফিং এবং সামাজিক মিডিয়ার জন্য নিখুঁত আকার। দুর্দান্ত ফোন স্যামসং","positive"
"চমৎকার ফোন, আমার প্যান্টাচ রিভ্যু থেকে গ্রেড আপ গ্রেড। খুব পরিষ্কার সেট আপ এবং সহজ সেট আপ।","positive"
"এটি অর্ডার দেওয়ার দু'দিন পরে পেলাম। এটি একটি দুর্দান্ত পণ্য।","positive"
"আমি সন্তুষ্ট ছিলাম এবং আমার যদি প্রয়োজন হয় তবে অবশ্যই তাদের কাছ থেকে অন্য ফোন কিনব।","positive"
"আমি আমার ফোন এবং পরিষেবা সম্পর্কে সত্যই হতাশ।","negative"
"আমি পূর্বের মালিকানাধীন ফোনটি পেতে সক্ষম হয়েছি একটি কীবোর্ড এবং টাচ স্ক্রিন সহ। এটি সেরা ফোন এবং আমি এটি পছন্দ করি।","positive"
"আমি অবশ্যই বলতে পারি এটি একটি দুর্দান্ত ক্রয় ছিল।ফোন কাজ দুর্দান্ত। ধন্যবাদ","positive"
"ব্যাটারিটি পুরানো ছিল এবং এটি ব্যবহার করা সীমাবদ্ধ ছিল কারণ এটি সবেমাত্র চার্জ রাখে। অন্যথায়, কোনও সমস্যা নেই।","positive"
"পেশাদার-সুন্দর পর্দা, ক্রোম চালাতে সক্ষম, ভালো ছবি তুলবে, কীবোর্ডটি স্বাচ্ছন্দ্যযুক্ত, আমার পকেটে ফিট করে এবং আমার হাতের সাথে ফিট করে, সত্যিই খুব ভাল ","positive"
"আমি এটি ট্র্যাশে ফেলেছি অর্থ হারিয়ে গেছে, আমি আর কখনও এই ব্যক্তির কাছ থেকে কিনব না! !!!","negative"
"এটির ব্যাটারির জীবন দুর্দান্ত। এটি স্পর্শ করতে খুব প্রতিক্রিয়াশীল।","positive"
"সমস্যাটি হ'ল কখনও কখনও স্ক্রিনটি কালো হয়ে যায় এবং পর্দাটি আলোকিত করতে আপনাকে বেশ কয়েকবার উপরের বোতামটি টিপতে হয়।","negative"
"ফোনটির দুর্দান্ত স্ক্রিন রেজোলিউশন রয়েছে","positive"
"মোবাইলের ব্যাপারে বলতে গেলে বলবো নিখুঁত অবস্থায় চমৎকার পণ্য","positive"
"তীক্ষ্ণ এবং উৎকৃষ্ট ফোন,আমার জন্য একবারে যথাযথ","positive"
"দ্রুত পাঠানো হয়েছিলো এবং প্রত্যাশা ঠিক ছিল!","positive"
"ফোন ফাংশন দুর্দান্ত। রেডিও এবং সঙ্গীত প্লেয়ারগুলি খুব ভাল মানের মানের।","positive"
"মূল নেভিগেশন বোতাম মাউসটি কিছুটা ছোট এবং সর্বদা প্রত্যাশার মতো সাড়া দেয় না","negative"
"আমার কনিষ্ঠ পুত্রের জন্য দুর্দান্ত ফোন","positive"
"নিখুঁত, ব্যবহারিক, পরিচালনা করা সহজ, ভাল রেজোলিউশন, ভাল প্যাক","positive"
"চমৎকার পণ্য !! ঠিক আছে আমি এই ফোনটি কিনতে পরামর্শ দিচ্ছি।","positive"
"আমি এই ইয়ারফোন সম্পর্কে সবকিছু ভালবাসি। এটি আড়ম্বরপূর্ণ এবং ক্লাসিক।","positive"
"দেখতে একেবারে নতুন! ভাল কাজ করে!","positive"
"ফোনটি সময়মতো এসেছিল এবং পরিষ্কার ছিল।","positive"
"এটি পুরোপুরি সূক্ষ্মভাবে কাজ করে এবং আমি আমার অর্ডার দেওয়ার ৫ দিনের মধ্যে আইফোনটি পুনরুদ্ধার করেছি। এটি দুর্দান্ত কাজ করে","positive"
"ব্যবহৃত ফোন কিন্তু নতুন দেখায় এবং দুর্দান্ত কাজ করে!","positive"
"আমার ম‌নে হয় পণ্যটি আসল। দা‌মের তুলনায় পণ্যের মান অ‌নেক ভাল","positive"
"আমি এই ল্যাপটপটি পেয়ে সন্তুষ্ট","positive"
"ব্যাটারি ব্যাক-আপ অসাধারণ এবং ফাস্ট চার্জিং","positive"
"কম দাম তবে ভাল পণ্য","positive"
"ল্যাপটপটি বেশ ভালো,খুব তাড়াতাড়ি বুটিং হচ্ছে ","positive"
"প্রোডাক্ট খুব ই ভালো সবাই নিতে পারেন ১০০ ভাগ  ভালো প্রোডাক্ট ","positive"
"আমি কল্পনাও করি নি জেনুইন উইন্ডোজ পাব।সাথে মাউস ও টি-শার্ট গিফট","positive"
"ধন্যবাদ ওয়ালটনকে।কম বাজেটে বাজারের সেরা একটি ল্যাপটপ","positive"
"এই দা‌মে এত সুন্দর মোবাইল ফোন কেউ দি‌তে পার‌বে না","positive"
"অফিসিয়াল প্রোডাক্ট,অসাধারণ অফার এবং পছন্দের  কালার পেয়েছি","positive"
"ক্যামেরাটা জোস এবং চার্জে অনেক ভালো ব্যাকআপ দিচ্ছে","positive"
"ভালো গুণসম্পন্ন এবং অসাধারণ ,আমি খুব খুশি","positive"
"খুব বাজে,আমার মতে না কেনাই ভালো ","negative"
"কোনো কাজের না, চার্জ দিলেও চার্জ নেয় না","negative"
"ব্লুটুথ সংযোগে সমস্যা করে তবে ওয়াইফাই সংযোগে সমস্যা হচ্ছে না","positive"
"অনেক সুন্দর কিবোর্ড,  ছবিতে এলইডি লাইটের আলো অনেক কম দেখা গেলেও বাস্তবে অনেক উজ্জ্বল","positive"
"কিবোর্ডের আলো আসলেই উজ্জ্বল এবং মেকানিক্যাল কিবোর্ডের অনুভুতি পাওয়া যায়","positive"
"এটা কোনো গেমিং কিবোর্ড না, দেখতে মেকানিক্যাল কিবোর্ড মনে হলেও ওইরকম না","negative"
"আড়ম্বরপূর্ণ ও অত্যাধুনিক দেখতে হওয়ায় যেকারো পছন্দ হবে ","positive"
"চমৎকার পণ্য !! .... ঠিক আছে .... আমি এটি সুপারিশ করছি ....","positive"
"টাকা অপচয় করতে না চাইলে অবশ্যই পণ্যটি কিনবেন না","negative"
"যারা কম দামের মধ্যে কিবোর্ড খুঁজছেন তাদের জন্য এটি অনেক ভালো কিবোর্ড","positive"
"হেডফোনটার গুণগত মান একটু বেশী সেরা 👌","positive"
"ফোনটার বহিরবয়বের তুলনায় দামটা কিছুটা বেশী  ","positive"
"মাইক্রোমেক্স ফোনের ব্যাটারি টেকসই না","positive"
"ফোনটার ডিসপ্লের পর্দা বেশ বড়, তবে স্পিড বেশ ভালো","positive"
"এটা কেউ কিনবেন না,খুবই ধীরগতির ফোন","positive"
"ওয়ান প্লাসের হেডফোনটায় দ্রুত চার্জিং করার ক্ষমতা আছে ","positive"
"রিয়েলমি ফোনের প্রসেসর গেমিং এর জন্য যথেষ্ট ভালো","positive"
" আইফোনের ক্যামেরা এক কথায় দুর্দান্ত ","positive"
"আইফোনের ক্যামেরার পিক্সেল কম হলেও ছবি একদম স্পষ্ট উঠে ","positive"
"আইফোনের ব্যাটারি ব্যাকআপ আশানুরূপ না আমার কাছে","negative"
"এবার আইফোনের প্রসেসরকে আরও দ্রুত করা হয়েছে ","positive"
"ফোনটার চিপ এবারে আরও ছোট করা হয়েছে ","positive"
"ডিজাইনিং টা বেশ সুন্দর এবং সাবলীল ","positive"
